gene_name,microbiome_pvalue,tissue_pvalue,microbiome_logFC,tissue_logFC
ZNF496,0.000757,1.17E-06,2.4947459,0.6286734
ZNF524,0.00776,1.17E-06,1.5049727,0.691833
RUBCN,0.0119,1.17E-06,0.6498291,0.5808405
EPS8,0.000215,1.17E-06,-1.2678062,-1.7740014
HTRA1,1.19E-05,1.17E-06,1.9974646,-1.9106584
EPHA1,0.0308,1.17E-06,-1.4126424,1.0296241
USP9X,0.00692,1.17E-06,-0.6871405,0.6069329
SEC24D,0.0257,1.17E-06,-0.5188444,-1.0618355
9-Mar,0.00307,1.17E-06,0.8171642,0.5240212
PRR32,0.0312,1.18E-06,1.2801104,0.8226548
SLC12A4,0.0442,1.18E-06,1.0415987,0.6831796
MAP3K8,0.0204,1.18E-06,0.9616256,-2.7297888
TAPBP,0.0134,1.18E-06,1.3786687,-1.4440809
CREB1,0.00466,1.19E-06,-0.6624862,-1.2280057
ZNF710,4.29E-05,1.19E-06,2.1898499,0.75617
TAS2R8,0.00375,1.19E-06,1.5159118,0.476625
TAX1BP1,4.42E-05,1.19E-06,-0.8898946,-1.080352
CALD1,2.70E-06,1.19E-06,2.1154969,-2.3925859
GINS2,0.0289,1.19E-06,-1.6769879,0.6467361
CSNK1G2-AS1,0.0233,1.19E-06,1.0582323,0.6223221
SDF4,0.00383,1.19E-06,0.9244837,-0.7770802
JAG1,0.0454,1.19E-06,-0.7400768,-1.6173946
TSPAN16,0.012,1.20E-06,1.7635912,0.7038868
CHN2,0.000446,1.20E-06,1.6444041,1.0170327
FARP2,0.000618,1.20E-06,-1.4439205,0.8713957
LINC00957,0.00501,1.20E-06,0.8301859,0.6162816
PHF21A,0.031,1.20E-06,0.5878038,-0.9891516
ANKRD11,0.0019,1.20E-06,0.7621429,-0.5671002
IMPDH2,0.031,1.20E-06,0.8092589,0.9593768
CCDC13,0.00709,1.21E-06,1.4218021,0.8662711
ZNF614,0.0124,1.21E-06,0.7603456,0.5348464
ATF5,0.0284,1.21E-06,0.7556088,0.6701612
NR4A1,0.0287,1.21E-06,0.8360393,-1.922738
PRDM15,0.0268,1.21E-06,-1.0322955,0.5564223
TRABD2B,1.02E-06,1.22E-06,3.4541876,0.7613893
FCAR,0.000649,1.22E-06,2.2999291,0.5398934
AVL9,1.35E-05,1.22E-06,-1.0954331,0.8582879
C20orf166-AS1,0.00526,1.22E-06,1.1411742,0.6052818
BMPR2,2.70E-06,1.22E-06,1.0518934,-1.3527268
LATS2,0.00646,1.22E-06,1.5992685,-1.5541227
ETV6,0.0152,1.23E-06,-1.5813703,0.6599296
POLR2B,2.44E-06,1.23E-06,-1.2468282,-1.1127696
LTBR,0.0278,1.23E-06,1.4095138,0.5475425
S1PR3,3.60E-06,1.23E-06,3.4027419,0.6504262
SF1,0.000871,1.23E-06,-1.0366616,-0.7584184
CHRM3,0.0106,1.23E-06,1.7291839,2.068183
PATZ1,0.0158,1.23E-06,1.0679341,0.6019193
PEA15,0.000313,1.23E-06,0.8936385,-1.453358
AP4B1,9.02E-05,1.23E-06,-0.9938343,0.6082882
KIF13A,9.75E-06,1.23E-06,-2.34456,0.6639587
GRK5,0.0408,1.23E-06,-0.8565055,-2.2341166
MAP3K2,0.000353,1.24E-06,-1.0851861,-1.3374325
PPP6R3,0.00041,1.24E-06,-1.5349418,-0.8976491
SYK,1.45E-06,1.24E-06,-2.0364761,-1.5726314
DKFZP434A062,0.0113,1.24E-06,1.1489075,0.7582123
HLA-A,7.12E-05,1.24E-06,-1.46521,-1.7541286
INSR,1.87E-06,1.24E-06,1.46211,1.6480486
FBXL6,0.00363,1.25E-06,-1.2197741,0.7038434
STEAP2,0.0276,1.25E-06,-0.8587928,-1.8008768
EDNRA,2.40E-05,1.25E-06,2.241014,-2.6117204
SLC38A3,0.00744,1.25E-06,1.3781307,1.3343552
CCL3L3///CCL3L1///CCL3,0.0182,1.25E-06,1.309914,-2.710807
LOC145783///ZNF280D,0.0052,1.25E-06,0.9443597,0.9566218
ACTB,5.43E-07,1.25E-06,1.7525954,-1.4905304
KCNIP2,3.43E-05,1.25E-06,3.2289019,1.1997918
CDH22,0.00012,1.25E-06,1.2460612,0.7182895
FLYWCH1,0.0408,1.25E-06,-1.2604264,0.560033
CRHR1,0.041,1.25E-06,1.4451563,0.8803459
FBXO10,0.000382,1.26E-06,1.8984388,0.5680429
EMSY,0.0361,1.26E-06,1.1823198,0.8642529
LRIG2,0.000353,1.26E-06,2.5027351,-1.5169916
LOC283485,0.0148,1.26E-06,1.5630991,0.5893457
OGT,0.000297,1.26E-06,-0.9828339,-1.6151846
ANO4,9.28E-05,1.26E-06,-2.3137818,0.6881687
PPP6R3,0.00041,1.26E-06,-1.5349418,-1.0394209
SRPRB,0.00134,1.26E-06,0.8841284,1.2928582
TRIO,0.0194,1.26E-06,-1.2222494,0.6920421
PLAC9,4.42E-06,1.26E-06,3.3101678,0.8401691
ADD2,1.10E-06,1.26E-06,3.2628595,0.6624141
C2orf57,0.00409,1.26E-06,1.4466995,0.6783232
ARHGAP1,0.0168,1.26E-06,-0.5442696,-1.1647564
NCAM2,0.00601,1.27E-06,2.0254064,0.6604661
LOC101927313,0.0421,1.27E-06,1.2228584,0.5613762
TMEM167A,0.0129,1.27E-06,-0.5755454,-0.7943621
SMARCA4,0.00202,1.27E-06,-0.8061006,0.4703048
GNB1L,0.00422,1.27E-06,1.605291,0.7219896
FRS2,0.0241,1.28E-06,-0.5194359,0.8148316
HELQ,0.0249,1.28E-06,0.6233913,-0.8548961
ATP13A4,0.0322,1.28E-06,1.5625416,0.5278009
EHBP1L1,0.000247,1.28E-06,-2.9609082,-1.4480621
CSF1R,6.62E-06,1.28E-06,1.4811729,-1.5372941
FOLR2,4.27E-06,1.28E-06,2.6446161,0.8012539
ADAM7,0.000287,1.28E-06,2.4172961,0.4196523
LIMK1,0.00962,1.28E-06,1.8497355,0.4920246
BLVRA,0.00231,1.28E-06,1.1144977,0.6460025
C21orf58,0.00155,1.28E-06,1.3257585,0.7334154
HERC4,0.000666,1.28E-06,-2.1961685,-0.9521591
CASC4,0.00247,1.28E-06,-1.9365574,-0.8736434
USP32,0.00307,1.29E-06,-0.7508607,-1.6128982
CLRN1,0.0399,1.29E-06,1.3181006,0.5535461
CECR2,1.90E-08,1.29E-06,4.5983647,0.5831089
PDZD3,0.000516,1.29E-06,2.2772685,1.2029289
GDF2,0.00756,1.29E-06,1.5609981,0.985798
MORN4,0.00191,1.29E-06,1.4428691,0.8725757
NAV2,0.00532,1.30E-06,1.3377196,0.4509532
LOC101927562///DUSP8,0.000599,1.30E-06,1.4360956,0.7409295
CYP2R1,9.47E-06,1.30E-06,-1.3840965,0.5179368
ROCK1,0.000919,1.30E-06,1.4367889,-1.6707082
ZNF226,1.61E-05,1.30E-06,-1.3345024,-1.2940802
LRRFIP1,1.41E-06,1.30E-06,-1.649119,-1.2219239
FITM2,0.0292,1.31E-06,0.7655152,0.5766261
LIG4,0.00331,1.31E-06,-0.7397606,-1.4434443
TRABD2A,0.00303,1.31E-06,-2.4319913,0.7443764
KLHL24,6.60E-05,1.31E-06,-1.6243646,-1.3883098
IGH,0.00803,1.31E-06,1.1960457,0.9241221
MIB1,0.0143,1.31E-06,-0.9343951,-0.9496973
CIB2,0.0007,1.31E-06,1.4672534,0.8519537
NTRK2,5.32E-06,1.31E-06,3.7078868,0.8512496
DTX3,0.000176,1.31E-06,2.0041047,1.0730698
RPS10,7.41E-05,1.32E-06,1.6628005,0.7312427
TMEM198,0.00014,1.32E-06,1.4510816,0.9385577
FUT11,0.00504,1.32E-06,0.9440303,-1.0650741
LINC01607,0.0117,1.32E-06,1.3014087,0.7743555
SND1,0.00634,1.32E-06,0.8011308,1.1023089
RNF17,0.0292,1.32E-06,1.3958814,0.4784388
LOC285847,0.000505,1.32E-06,2.2409942,0.4929616
TMCO3,0.00411,1.33E-06,-0.7493843,0.4695532
MEF2C,0.00118,1.33E-06,1.7860845,-2.0274455
DUX1,0.0334,1.33E-06,0.956053,0.6257418
DOCK1,0.0257,1.33E-06,1.3272088,0.712502
TGFB1,8.83E-05,1.33E-06,2.4400279,-2.005425
POU6F2,0.0468,1.33E-06,1.2208149,0.7588879
PHLDA1,0.00271,1.33E-06,1.1756542,-2.5166954
SEPT5-GP1BB,7.07E-05,1.33E-06,2.7010569,0.8665475
ACSL3,1.45E-05,1.33E-06,-1.1587457,-1.3978345
TMEM2,0.0394,1.34E-06,-0.4511113,-1.5877745
SCUBE3,0.0221,1.34E-06,1.5208764,0.6472827
FERMT2,1.42E-07,1.34E-06,2.7406305,-1.7477709
NF1P9///NF1,0.00138,1.35E-06,1.911485,-0.7872761
CLASP2,0.0329,1.35E-06,0.4426351,-0.5995975
EXPH5,6.46E-06,1.35E-06,-1.5046621,0.6122452
CDH22,0.00012,1.35E-06,1.2460612,0.7731593
FATE1,0.000595,1.35E-06,1.7592214,0.8077287
MAP1A,9.17E-06,1.35E-06,2.0459086,0.5632504
PABPN1,0.0213,1.35E-06,-0.4713404,-1.0506488
TCF3,0.0189,1.35E-06,-0.6734571,0.5381646
MICALL2,1.73E-06,1.35E-06,-2.647428,-1.6364611
GGA1,0.016,1.35E-06,-0.5546822,-0.4468929
SLC7A1,0.00196,1.35E-06,1.6454925,1.2944893
PKHD1,7.69E-09,1.35E-06,3.444859,0.6464514
ENO1,0.00559,1.36E-06,2.2118468,0.4481321
GRIN1,0.0018,1.36E-06,1.679083,0.5004621
PIGB,0.022,1.36E-06,-0.6182443,-0.983437
CDC27,0.000556,1.36E-06,0.826328,-1.0055136
KIAA1211L,0.0221,1.37E-06,1.3923892,0.9078989
SLC6A2,0.00133,1.37E-06,2.2204408,0.5098923
CAV3,0.00754,1.37E-06,1.3449791,0.6727502
N6AMT1,0.00968,1.37E-06,-1.4096274,0.7476295
DNAH1,0.00438,1.37E-06,2.1825762,-1.0175145
PRR11,0.00539,1.37E-06,-1.8426818,-0.8896309
KCTD15,0.00253,1.37E-06,1.3567088,0.7923434
PNISR,0.00293,1.37E-06,-1.0243045,-1.122472
GPCPD1,0.023,1.37E-06,-0.7748764,-2.1062093
FEZ2,0.00667,1.37E-06,-0.8079485,-1.6256657
CD36,1.65E-09,1.38E-06,4.2739194,0.6839102
CCNL1,0.0373,1.38E-06,-0.6655688,-1.8753725
NCR2,0.00116,1.38E-06,1.0872513,0.6470407
SSPO,0.000133,1.38E-06,1.9374879,0.9795718
CNR2,0.00647,1.38E-06,1.012944,0.8145284
LOC100287497,6.42E-05,1.38E-06,-2.1351653,-1.2013139
DLL3,0.000116,1.38E-06,2.0361077,0.6039673
LOC105370178,0.000802,1.38E-06,1.8722976,0.4346812
TRIB2,0.00047,1.38E-06,-1.4734264,-2.0895938
GSS,2.45E-05,1.39E-06,-1.4601513,-1.2216338
ITIH4,0.00196,1.39E-06,1.9208414,0.6557025
SH3YL1,0.0017,1.39E-06,0.9156671,0.8056262
LOC101927673///OTUB1,0.000706,1.39E-06,-1.0365064,-1.0054543
TCP11L2,0.00334,1.39E-06,-1.8861013,0.4614511
AMPD3,0.00586,1.39E-06,-0.9383707,-1.6679098
HUWE1,0.00545,1.39E-06,0.7179253,-0.6205513
HS6ST3,7.89E-05,1.39E-06,2.2290121,1.0107564
SLC6A2,0.00133,1.39E-06,2.2204408,0.6812366
TNFSF10,0.0011,1.40E-06,-1.3316831,-1.76725
RSF1,0.000603,1.40E-06,-1.0155995,-0.8427646
RSPH14,0.00249,1.40E-06,2.1202274,0.5598209
SNTG1,0.0418,1.40E-06,1.3173472,0.6896637
RIMBP2,0.00477,1.40E-06,1.4712421,0.6135709
HNRNPA2B1,0.0189,1.40E-06,-0.7304492,-1.7502261
C2orf71,0.00137,1.40E-06,1.5997622,0.6120295
FGFR2,0.00182,1.40E-06,-1.5490639,0.6919591
KIAA1551,0.000143,1.40E-06,-1.2729533,-1.9516268
SEMA6D,2.30E-06,1.40E-06,3.7578888,0.7727236
PRKAR2A,0.00719,1.40E-06,1.8424965,-0.732793
LOC100128644,0.0186,1.41E-06,0.7669755,0.691228
RABGAP1,0.00527,1.41E-06,-0.9320935,-0.8421716
DCAF11,0.00903,1.41E-06,0.7434147,0.7593
SUSD3,0.00223,1.41E-06,2.0112333,0.6963743
TKT,5.32E-05,1.41E-06,1.6554991,1.0608196
ITGBL1,3.29E-06,1.41E-06,3.4275205,-2.5784834
ODF3B,0.0134,1.41E-06,0.9763265,0.9218479
WBP4,0.000315,1.41E-06,-1.0491591,-1.3261007
LOC100505774,0.0101,1.42E-06,1.1248977,0.7338343
IK,0.0229,1.42E-06,-0.5117185,-0.8912659
IGSF1,0.00459,1.42E-06,1.5913585,0.9279289
ACBD5,4.01E-06,1.42E-06,-1.8271148,-0.9284295
KIAA0485,0.000126,1.42E-06,-1.8440257,0.6297441
ZNF107,0.00506,1.42E-06,-1.2080755,-0.742505
SAR1A,0.0419,1.42E-06,-0.4578395,-1.1141588
ADAM10,0.00128,1.43E-06,-1.252844,-1.7321039
FAM27E2///FAM27E3,0.00127,1.43E-06,2.1468876,0.6435032
MMP11,0.000107,1.43E-06,2.554842,0.6141639
SFT2D3,0.000237,1.43E-06,-0.9509137,0.7517686
IGBP1,0.000667,1.44E-06,1.1683417,0.9709725
ANKMY2,0.0198,1.44E-06,-0.7222114,-0.9282195
FLVCR1,0.0123,1.44E-06,-0.8192538,-1.1474684
IKZF1,3.13E-05,1.45E-06,2.0233716,0.4696936
POLR1D,0.000294,1.45E-06,1.1064367,1.5694657
LINC00205,0.0472,1.45E-06,1.0891236,0.5888807
CUL5,0.000313,1.45E-06,-1.2621339,-1.0084971
MAML2,0.00966,1.45E-06,1.0228891,-1.5751413
EXOC7,0.0469,1.45E-06,0.6724297,0.5421486
LAMA3,6.92E-06,1.45E-06,-2.334536,0.6447668
RNF207,0.00516,1.45E-06,-0.8025268,0.7047487
ACTB,5.43E-07,1.46E-06,1.7525954,-1.5202839
TP53TG5,0.0103,1.46E-06,1.0699528,0.8003321
SNX1,0.00616,1.46E-06,0.6860036,-1.0919618
ADAM9,0.000183,1.46E-06,-1.8210942,-2.2755139
EIF4G2,0.0119,1.46E-06,1.4913048,0.5623325
CD79B,0.00728,1.47E-06,1.8459845,0.9739887
PYGB,1.34E-07,1.47E-06,-2.6100999,0.5830046
SPTLC2,0.000183,1.47E-06,-1.9798642,-1.2649805
LOC389199,0.00794,1.47E-06,1.1031879,0.5325895
PRM3,0.0334,1.47E-06,1.4830636,0.7511359
CTAGE5,0.00158,1.47E-06,-1.1011876,0.4627793
ENTPD1,8.07E-05,1.47E-06,1.3131544,-1.8397457
DBT,0.000274,1.48E-06,1.1456266,1.1932084
LOC158402,0.00364,1.48E-06,-0.9684391,0.6817255
GLP1R,8.33E-05,1.48E-06,2.4674517,0.621437
ALDH3B1,0.0124,1.48E-06,1.6657154,0.9632509
ATF7,0.0199,1.48E-06,0.9758963,0.7394023
CDK14,1.50E-05,1.49E-06,1.9426182,0.7342196
RBMS1,0.042,1.49E-06,1.1486089,-1.6812729
BRSK2,4.26E-07,1.49E-06,3.5127037,1.1808227
PRLR,0.00632,1.49E-06,1.0421583,0.8417545
CACNA1F,0.000263,1.49E-06,1.6345004,0.9235811
ATP1A4,0.00707,1.49E-06,1.6482844,0.6930834
HOXA11,0.0132,1.49E-06,-1.6657583,0.7583164
RASSF8,0.000174,1.49E-06,2.0877011,-1.619548
EHBP1L1,0.000247,1.49E-06,-2.9609082,-2.0067479
RPL38,0.0248,1.49E-06,0.6687559,0.795213
DTX3,0.000176,1.50E-06,2.0041047,0.730388
TTC13,9.11E-05,1.50E-06,-1.5630496,-0.7491759
GRSF1,0.00196,1.50E-06,-0.6958381,0.5347943
SLC22A8,9.24E-06,1.50E-06,3.2489889,0.458395
PRKAA1,5.43E-06,1.50E-06,-2.2172732,-1.4767386
ASB16,0.0119,1.50E-06,1.0653007,0.6166157
CSNK1G3,0.0218,1.50E-06,-0.5199172,-1.2011546
FLCN,0.0192,1.50E-06,0.9819845,-0.6576511
PCYT1B,1.15E-05,1.50E-06,2.8414977,0.9110414
ZRANB3,0.00101,1.51E-06,1.2271324,0.7430939
PPP1R15A,0.0261,1.51E-06,0.6854059,-1.7492455
FAAP20,0.000279,1.51E-06,0.9048804,0.5448705
RABEP2,0.0151,1.51E-06,1.1250362,-1.1075404
FAM13A,0.00312,1.51E-06,1.2382332,0.4949557
LHX6,0.000484,1.51E-06,1.3904132,0.6970121
BTN3A2,0.0187,1.52E-06,-0.9948593,-1.4747413
UBE2D4,0.000153,1.52E-06,1.1808616,0.7941554
BBS9,0.0182,1.52E-06,1.4163449,-0.7023838
NCOR2,0.00366,1.52E-06,1.6348127,0.8292118
SLC8A1,0.000269,1.52E-06,1.7379243,-1.5594759
ATP2B2,0.00815,1.53E-06,1.4513129,0.8079598
FAM185A,4.44E-06,1.53E-06,-1.8152607,0.6466782
LINC01566,0.0159,1.53E-06,0.7203269,0.5872695
CABP7,0.00358,1.53E-06,2.3175499,0.5928252
PLXNA2,0.000823,1.53E-06,1.2435313,1.6682882
HNF4A,0.00069,1.53E-06,-1.4634115,0.5203529
CACNG4,4.08E-05,1.54E-06,2.0400985,0.7123134
GPHN,0.000265,1.54E-06,1.1221141,1.3097839
TMEM177,0.0329,1.54E-06,-0.5741711,0.6688841
ELF4,1.33E-06,1.54E-06,-1.9632692,-2.0886714
LOC101930026,0.000526,1.54E-06,-1.6974218,0.8115012
NANOS2,0.0126,1.54E-06,1.8481514,0.7827382
NAP1L1,0.000358,1.54E-06,0.9179534,-1.330057
TFB2M,0.00193,1.54E-06,1.8498528,0.9236216
OAF,1.53E-05,1.54E-06,2.5119742,0.7911175
RAP1A,0.00561,1.54E-06,1.4708616,0.5087766
NRTN,6.70E-05,1.54E-06,3.7788831,1.989212
HFE,0.000193,1.54E-06,1.5557041,0.646198
GMPS,0.0218,1.54E-06,1.0174406,0.612063
DCAF8,1.24E-06,1.55E-06,-2.0926819,0.8187668
SH3BGRL,0.00134,1.55E-06,0.7438535,-1.0727561
ZBTB37,0.00252,1.55E-06,-1.4568705,0.3683309
PHF20L1,1.65E-06,1.55E-06,-1.4940919,-1.4284436
ALG13,2.92E-06,1.55E-06,-1.4905608,0.6418354
FTX,0.0021,1.55E-06,-1.6713515,-1.3080914
PLAU,0.000202,1.55E-06,2.6255769,-3.2569405
ADAM5,0.0398,1.56E-06,1.3592503,0.7332325
WDR26,0.0126,1.56E-06,-0.8014652,-1.3596293
PTPRC,0.000212,1.56E-06,2.4121074,-3.1403948
LOC101927122,0.00941,1.56E-06,1.6810786,0.6808045
ATP6V0E1,0.014,1.56E-06,0.4985536,-0.7644107
GPR137,0.00781,1.56E-06,1.0921655,0.6850811
HLA-G,0.00232,1.57E-06,1.4577763,-1.5444161
WDR11,1.03E-05,1.57E-06,-1.6544023,-1.3340657
PLK5,4.76E-06,1.57E-06,2.8152111,0.4887627
DOCK5,8.11E-09,1.57E-06,-3.54154,-1.3218034
HCFC1,0.000234,1.57E-06,1.3029306,0.7582282
NOL4L,2.88E-05,1.57E-06,-1.4407639,0.5000998
PRDM10,0.000116,1.57E-06,-1.2762227,0.5898182
TCP11L2,0.00334,1.57E-06,-1.8861013,0.647702
PIGQ,0.00536,1.58E-06,1.7251952,0.6088336
MXRA8,1.58E-06,1.58E-06,1.8667227,-1.7248632
DPF1,0.0161,1.58E-06,1.0861317,0.6960273
MEGF6,0.0217,1.58E-06,1.5782109,-2.3327634
LZTS2,0.00318,1.58E-06,2.1043076,-0.8583743
LOC101928729,0.038,1.58E-06,1.2291799,0.7596939
LIX1L,0.00159,1.58E-06,1.1985481,-1.0062595
INHBC,0.0138,1.58E-06,-0.6710688,0.778688
LOC101930243///LOC101929865,0.0042,1.58E-06,1.8648298,0.688257
SIRT3,0.00286,1.59E-06,0.9873976,0.7597543
SETMAR,0.00156,1.59E-06,0.9569942,0.7935362
NR3C1,0.00723,1.59E-06,1.1738123,-1.4010498
GATAD2A,0.034,1.59E-06,1.0268814,0.6264666
KIF25-AS1,0.00942,1.60E-06,0.9679117,0.5952434
MIS18BP1,0.00121,1.60E-06,-1.0208908,-1.4118361
CCDC71L,0.000444,1.60E-06,0.9695302,0.734128
CFAP65,0.0101,1.60E-06,1.5135781,0.8273218
SSH1,0.0414,1.60E-06,0.4364978,-1.6240338
OVCH1-AS1,0.0273,1.60E-06,1.2888613,0.6156038
PPP3CA,0.00089,1.61E-06,-0.9311289,-1.1742286
UFM1,9.80E-05,1.61E-06,-1.1433474,1.2549389
PAX8,9.88E-07,1.61E-06,1.5117529,0.7728995
INPP4B,3.06E-05,1.61E-06,-2.95407,-2.0925707
ERBIN,0.000464,1.61E-06,-1.3133914,-1.6642479
ERN1,0.000404,1.61E-06,1.1565056,0.5451184
RIF1,0.0213,1.61E-06,-1.4897442,-1.0560575
TM9SF3,6.35E-07,1.62E-06,-1.4693766,0.6638996
CACNA1E,0.0179,1.62E-06,0.8896164,0.6181084
PTTG1IP,0.0111,1.62E-06,-0.7369233,-1.3440732
LOC101928682,0.00466,1.62E-06,1.3796453,0.6696487
REV1,0.000672,1.62E-06,-0.996021,-0.6554832
FGFR1,1.12E-09,1.62E-06,3.8339989,0.9265396
ITPK1,0.000237,1.62E-06,1.58228,0.8535379
NR6A1,0.000925,1.63E-06,1.5129087,0.731193
MPHOSPH8,0.000478,1.63E-06,-0.951558,-1.1932863
RSL1D1,8.92E-07,1.64E-06,1.6832906,1.1986645
WDR60,0.00196,1.64E-06,-2.0203631,-0.7876091
GH2///GH1///CSHL1///CSH1,0.00158,1.64E-06,2.6427843,0.8208245
SLC13A3,0.00685,1.64E-06,1.7639722,0.6427873
KCNA6,0.03,1.64E-06,1.3359888,0.5930393
BMP1,0.00225,1.64E-06,1.5076404,0.6600521
FAM156B///FAM156A,0.0209,1.64E-06,-0.5764592,-0.7712368
DPH5,1.67E-05,1.65E-06,1.3149637,0.6801912
IRX4,0.00331,1.65E-06,1.8048815,0.6514282
CARD6,0.0244,1.65E-06,-0.647645,-1.2248546
MOB1A,0.0015,1.65E-06,-0.8958291,-1.1795246
DNAH1,0.00438,1.65E-06,2.1825762,0.4609923
OAZ3,0.048,1.65E-06,1.1247275,0.6464989
PRCD,0.0218,1.65E-06,1.1806393,0.4828868
LUC7L3,0.000304,1.65E-06,-1.0550396,-1.5896339
ZNF654,6.35E-05,1.65E-06,-1.1161052,-0.9391641
RASSF1-AS1,0.00978,1.66E-06,0.9587954,0.6345748
WDR26,0.0126,1.66E-06,-0.8014652,-0.8875304
SLIT2,5.36E-08,1.66E-06,3.5532087,-2.035217
FOXN3,0.000607,1.66E-06,1.7834505,0.7005716
FAS,0.0289,1.67E-06,0.8130291,-1.8107439
JAK3,0.00505,1.67E-06,0.9883054,0.6405916
ACTR3,0.00013,1.67E-06,-1.1531124,-1.6505568
DRD2,0.0228,1.68E-06,1.1362449,0.7919495
FAM13A,0.00312,1.68E-06,1.2382332,0.7913889
DDA1,0.0218,1.68E-06,1.1939459,0.7554402
SFPQ,0.000152,1.68E-06,-1.122311,0.4319793
KIRREL,6.21E-06,1.69E-06,3.0232916,-1.6851382
ADAMTS12,0.025,1.69E-06,1.3318742,-2.4070932
SNORD96A///SNORD95///RACK1,5.10E-05,1.69E-06,1.6029759,-1.0469846
ARAP3,0.00198,1.69E-06,1.266828,-1.48212
LOC388780,0.0116,1.70E-06,1.2645124,0.8556002
GLIPR1,9.37E-05,1.70E-06,2.2345495,-1.9259459
ZFAT,0.0204,1.70E-06,0.9041891,0.4349561
MSANTD2,0.0486,1.70E-06,-0.4838658,-1.0988759
ABLIM2,0.0069,1.71E-06,1.2793362,0.5074077
PHC2,9.81E-06,1.71E-06,2.1799129,-1.3029848
ACRV1,0.0154,1.71E-06,1.4197579,0.5850891
ACSL3,1.45E-05,1.72E-06,-1.1587457,-1.1539996
RSRC2,0.00162,1.72E-06,-0.6558892,-1.1892489
CDKN2A,0.000632,1.72E-06,-2.6177054,0.5353923
LRRN2,7.05E-06,1.72E-06,2.4148775,1.1818473
ARHGEF37,0.00628,1.72E-06,-1.0870429,0.6849139
GADD45GIP1,0.0484,1.73E-06,-0.7561335,0.5087932
SGTB,6.44E-06,1.73E-06,1.5950346,-1.6757016
DNAH1,0.00438,1.73E-06,2.1825762,0.8710904
NCR1,0.0102,1.73E-06,1.5693925,1.0392082
TMEM52,7.44E-06,1.73E-06,2.8165318,3.9421793
N4BP1,0.0114,1.74E-06,-0.7033584,-1.3706416
TET3,2.83E-05,1.74E-06,-1.0474889,0.3166784
HOXC5,0.0292,1.74E-06,-1.1665389,0.6163364
TNFAIP6,0.0288,1.74E-06,1.6068904,-2.9450598
SCARF2,0.000359,1.75E-06,2.3008102,-1.2947175
BROX,0.000392,1.75E-06,-1.4261304,-1.1660875
RNASE6,4.68E-07,1.75E-06,2.2241696,-2.2641932
LOC440792,0.0403,1.75E-06,1.0203424,0.7689171
GLI3,6.68E-07,1.75E-06,2.234711,-1.8070696
PCNX2,0.0109,1.75E-06,-0.6374278,-1.409563
LOC729683,0.00115,1.76E-06,-1.4537341,0.6416284
CLEC11A,1.33E-06,1.76E-06,3.674933,-1.4966705
ZNF211,0.0174,1.76E-06,-0.8799464,-0.8521175
GSTA3,1.79E-05,1.76E-06,3.1330829,1.0738711
STAB1,1.90E-05,1.76E-06,2.8651943,0.6217516
PKM,0.0222,1.76E-06,-1.0269113,-1.9286086
ATP2B1,0.0476,1.76E-06,-0.5981922,-1.7026964
ACACB,0.00199,1.77E-06,0.8795019,0.4844839
TAOK1,0.000862,1.77E-06,-2.3122319,-1.2345745
LCE1E,0.023,1.78E-06,-0.7152603,0.6820257
ACTR2,0.00794,1.78E-06,-0.9256515,-1.1932714
SYNRG,0.00135,1.78E-06,1.09376,-0.5737139
LRRC43,1.88E-05,1.78E-06,1.6593314,0.8620111
RAP2B,0.00149,1.78E-06,-1.1043867,-1.8554716
SLC2A14///SLC2A3,4.06E-10,1.78E-06,2.9896603,-2.4968191
NAPRT,0.00966,1.78E-06,-1.9918243,0.7613905
MACF1,0.0397,1.78E-06,-1.1775668,-1.1543841
RAP2C,0.0242,1.79E-06,-0.7915585,-1.4549077
TRIM8,0.00197,1.79E-06,2.1857439,0.8136816
LRP5,0.000371,1.79E-06,2.1744356,0.578532
KIRREL2,1.99E-08,1.79E-06,4.4079612,2.0339179
LOC101930373///HYDIN2///HYDIN,2.31E-06,1.79E-06,2.0890722,0.4765941
BCL10,0.00013,1.79E-06,-1.2998812,-1.8522329
OTP,0.0279,1.80E-06,1.5332253,0.4757648
WWTR1-AS1,0.00957,1.80E-06,1.3251802,0.528832
KCNG4,0.00119,1.80E-06,1.9807523,0.6540091
PKNOX2,3.83E-07,1.80E-06,1.9437049,0.6125886
SLCO3A1,0.00281,1.80E-06,1.3981319,-1.9967443
CTDSPL,0.0442,1.80E-06,-0.7197607,0.394323
MICAL1,0.00061,1.80E-06,-1.3478714,-1.5645198
LRRC55,0.00311,1.81E-06,1.3206332,0.5664759
CDK10,0.00122,1.81E-06,-1.1265478,-0.6781763
LOC102724250,0.0225,1.81E-06,1.948332,0.6194905
MYH11,2.35E-08,1.81E-06,3.1148132,0.7449437
TMEM132A,0.00942,1.81E-06,1.2790433,0.5286582
ABI2,0.000551,1.82E-06,1.8968857,-0.9604513
APOL4,0.000797,1.82E-06,1.7678529,0.708495
VCAN,0.0261,1.82E-06,1.4571302,-3.8396916
CAST,0.00526,1.82E-06,-0.5741167,-1.4790139
TPP1,0.0039,1.83E-06,-1.6004855,-1.4434613
COL6A3,0.000479,1.83E-06,2.5218464,-2.5293993
GALNT16,1.99E-06,1.84E-06,2.4978549,0.5023361
CD47,0.000181,1.84E-06,-1.152169,0.4886807
